ts_ms,ts_utc,spot_symbol,perp_symbol,spot_close,perp_close,basis_bp,spot_lag_bars
1788020400000,2026-08-29T16:20:00Z,RMRVLUSDT,MRVLUSDT,216.94,216.61,-15.211579,0
1788020700000,2026-08-29T16:25:00Z,RMRVLUSDT,MRVLUSDT,216.94,216.56,-17.516364,1
1788021000000,2026-08-29T16:30:00Z,RMRVLUSDT,MRVLUSDT,216.94,216.56,-17.516364,2
1788023400000,2026-08-29T17:10:00Z,RMRVLUSDT,MRVLUSDT,217.02,216.56,-21.196203,0
1788023700000,2026-08-29T17:15:00Z,RMRVLUSDT,MRVLUSDT,217.02,216.58,-20.274629,1
1788024000000,2026-08-29T17:20:00Z,RMRVLUSDT,MRVLUSDT,217.02,216.45,-26.26486,2
1788030000000,2026-08-29T19:00:00Z,RMRVLUSDT,MRVLUSDT,217.09,217.11,0.921277,0
1788030300000,2026-08-29T19:05:00Z,RMRVLUSDT,MRVLUSDT,217.09,217.12,1.381915,1
1788030600000,2026-08-29T19:10:00Z,RMRVLUSDT,MRVLUSDT,217.09,217.12,1.381915,2
1788033300000,2026-08-29T19:55:00Z,RMRVLUSDT,MRVLUSDT,217.12,217.28,7.369197,0
1788033600000,2026-08-29T20:00:00Z,RMRVLUSDT,MRVLUSDT,217.12,217.45,15.198968,1
1788033900000,2026-08-29T20:05:00Z,RMRVLUSDT,MRVLUSDT,217.12,217.39,12.43552,2
1788044100000,2026-08-29T22:55:00Z,RMRVLUSDT,MRVLUSDT,217.14,217.0,-6.447453,0
1788044400000,2026-08-29T23:00:00Z,RMRVLUSDT,MRVLUSDT,217.14,217.19,2.302662,1
1788044700000,2026-08-29T23:05:00Z,RMRVLUSDT,MRVLUSDT,217.14,217.09,-2.302662,2
1788057300000,2026-08-30T02:35:00Z,RMRVLUSDT,MRVLUSDT,217.09,217.29,9.212769,0
1788057600000,2026-08-30T02:40:00Z,RMRVLUSDT,MRVLUSDT,217.17,217.35,8.288438,0
1788057900000,2026-08-30T02:45:00Z,RMRVLUSDT,MRVLUSDT,217.09,217.3,9.673407,0
1788058200000,2026-08-30T02:50:00Z,RMRVLUSDT,MRVLUSDT,217.09,217.25,7.370215,1
1788058500000,2026-08-30T02:55:00Z,RMRVLUSDT,MRVLUSDT,217.09,217.31,10.134046,2
1788059700000,2026-08-30T03:15:00Z,RMRVLUSDT,MRVLUSDT,217.09,217.32,10.594684,0
1788060000000,2026-08-30T03:20:00Z,RMRVLUSDT,MRVLUSDT,217.35,217.46,5.060962,0
1788060300000,2026-08-30T03:25:00Z,RMRVLUSDT,MRVLUSDT,217.35,217.5,6.901311,1
1788060600000,2026-08-30T03:30:00Z,RMRVLUSDT,MRVLUSDT,217.35,217.4,2.300437,2
1788064800000,2026-08-30T04:40:00Z,RMRVLUSDT,MRVLUSDT,217.53,217.59,2.75824,0
1788065100000,2026-08-30T04:45:00Z,RMRVLUSDT,MRVLUSDT,217.53,217.6,3.217947,1
1788065400000,2026-08-30T04:50:00Z,RMRVLUSDT,MRVLUSDT,217.53,217.62,4.13736,2
1788067500000,2026-08-30T05:25:00Z,RMRVLUSDT,MRVLUSDT,217.53,217.5,-1.37912,0
1788067800000,2026-08-30T05:30:00Z,RMRVLUSDT,MRVLUSDT,217.6,217.58,-0.919118,0
1788068100000,2026-08-30T05:35:00Z,RMRVLUSDT,MRVLUSDT,217.6,217.52,-3.676471,1
1788068400000,2026-08-30T05:40:00Z,RMRVLUSDT,MRVLUSDT,217.6,217.58,-0.919118,2
1788068700000,2026-08-30T05:45:00Z,RMRVLUSDT,MRVLUSDT,217.65,217.56,-4.135079,0
1788069000000,2026-08-30T05:50:00Z,RMRVLUSDT,MRVLUSDT,217.65,217.5,-6.891799,1
