ts_ms,ts_utc,spot_symbol,perp_symbol,spot_close,perp_close,basis_bp,spot_lag_bars
1788018900000,2026-08-29T15:55:00Z,RNVDAUSDT,NVDAUSDT,219.01,218.75,-11.871604,0
1788019200000,2026-08-29T16:00:00Z,RNVDAUSDT,NVDAUSDT,219.01,218.78,-10.501804,0
1788019500000,2026-08-29T16:05:00Z,RNVDAUSDT,NVDAUSDT,219.1,218.78,-14.605203,0
1788019800000,2026-08-29T16:10:00Z,RNVDAUSDT,NVDAUSDT,219.1,218.9,-9.128252,0
1788020100000,2026-08-29T16:15:00Z,RNVDAUSDT,NVDAUSDT,219.17,218.87,-13.688005,0
1788020400000,2026-08-29T16:20:00Z,RNVDAUSDT,NVDAUSDT,219.3,218.9,-18.239854,0
1788020700000,2026-08-29T16:25:00Z,RNVDAUSDT,NVDAUSDT,219.35,218.91,-20.059266,0
1788021000000,2026-08-29T16:30:00Z,RNVDAUSDT,NVDAUSDT,219.31,219.0,-14.135242,0
1788021300000,2026-08-29T16:35:00Z,RNVDAUSDT,NVDAUSDT,219.3,218.95,-15.959872,0
1788021600000,2026-08-29T16:40:00Z,RNVDAUSDT,NVDAUSDT,219.19,218.94,-11.40563,0
1788021900000,2026-08-29T16:45:00Z,RNVDAUSDT,NVDAUSDT,219.15,219.0,-6.844627,0
1788022200000,2026-08-29T16:50:00Z,RNVDAUSDT,NVDAUSDT,219.23,219.0,-10.491265,0
1788022500000,2026-08-29T16:55:00Z,RNVDAUSDT,NVDAUSDT,219.16,218.96,-9.125753,0
1788022800000,2026-08-29T17:00:00Z,RNVDAUSDT,NVDAUSDT,219.35,218.96,-17.779804,0
1788023100000,2026-08-29T17:05:00Z,RNVDAUSDT,NVDAUSDT,219.16,218.88,-12.776054,0
1788023400000,2026-08-29T17:10:00Z,RNVDAUSDT,NVDAUSDT,218.99,218.88,-5.02306,0
1788023700000,2026-08-29T17:15:00Z,RNVDAUSDT,NVDAUSDT,219.02,218.88,-6.39211,0
1788024000000,2026-08-29T17:20:00Z,RNVDAUSDT,NVDAUSDT,218.96,218.84,-5.480453,0
1788024300000,2026-08-29T17:25:00Z,RNVDAUSDT,NVDAUSDT,219.09,218.88,-9.585102,0
1788024600000,2026-08-29T17:30:00Z,RNVDAUSDT,NVDAUSDT,218.99,218.79,-9.132837,0
1788024900000,2026-08-29T17:35:00Z,RNVDAUSDT,NVDAUSDT,218.98,218.79,-8.676591,0
1788025200000,2026-08-29T17:40:00Z,RNVDAUSDT,NVDAUSDT,218.98,218.8,-8.219929,0
1788025500000,2026-08-29T17:45:00Z,RNVDAUSDT,NVDAUSDT,219.06,218.8,-11.868894,0
1788025800000,2026-08-29T17:50:00Z,RNVDAUSDT,NVDAUSDT,219.03,218.88,-6.848377,0
1788026100000,2026-08-29T17:55:00Z,RNVDAUSDT,NVDAUSDT,219.09,218.85,-10.954402,0
1788026400000,2026-08-29T18:00:00Z,RNVDAUSDT,NVDAUSDT,219.1,218.83,-12.32314,0
1788026700000,2026-08-29T18:05:00Z,RNVDAUSDT,NVDAUSDT,219.12,218.88,-10.952903,0
1788027000000,2026-08-29T18:10:00Z,RNVDAUSDT,NVDAUSDT,219.18,218.91,-12.318642,0
1788027300000,2026-08-29T18:15:00Z,RNVDAUSDT,NVDAUSDT,219.14,218.9,-10.951903,0
1788027600000,2026-08-29T18:20:00Z,RNVDAUSDT,NVDAUSDT,219.1,218.91,-8.671839,0
1788027900000,2026-08-29T18:25:00Z,RNVDAUSDT,NVDAUSDT,219.2,218.88,-14.59854,0
1788028200000,2026-08-29T18:30:00Z,RNVDAUSDT,NVDAUSDT,218.92,218.99,3.197515,0
1788028500000,2026-08-29T18:35:00Z,RNVDAUSDT,NVDAUSDT,218.91,218.95,1.827235,0
1788028800000,2026-08-29T18:40:00Z,RNVDAUSDT,NVDAUSDT,218.93,219.0,3.197369,0
1788029100000,2026-08-29T18:45:00Z,RNVDAUSDT,NVDAUSDT,219.05,219.01,-1.826067,0
1788029400000,2026-08-29T18:50:00Z,RNVDAUSDT,NVDAUSDT,218.93,219.02,4.110903,0
1788029700000,2026-08-29T18:55:00Z,RNVDAUSDT,NVDAUSDT,219.0,218.99,-0.456621,0
1788030000000,2026-08-29T19:00:00Z,RNVDAUSDT,NVDAUSDT,219.0,219.02,0.913242,0
1788030300000,2026-08-29T19:05:00Z,RNVDAUSDT,NVDAUSDT,218.89,218.94,2.284252,0
1788030600000,2026-08-29T19:10:00Z,RNVDAUSDT,NVDAUSDT,218.89,218.94,2.284252,1
1788030900000,2026-08-29T19:15:00Z,RNVDAUSDT,NVDAUSDT,219.13,218.9,-10.496053,0
1788031200000,2026-08-29T19:20:00Z,RNVDAUSDT,NVDAUSDT,219.06,218.94,-5.477951,0
1788031500000,2026-08-29T19:25:00Z,RNVDAUSDT,NVDAUSDT,219.0,218.93,-3.196347,0
1788031800000,2026-08-29T19:30:00Z,RNVDAUSDT,NVDAUSDT,219.0,218.98,-0.913242,1
1788032100000,2026-08-29T19:35:00Z,RNVDAUSDT,NVDAUSDT,218.91,219.0,4.111279,0
1788032400000,2026-08-29T19:40:00Z,RNVDAUSDT,NVDAUSDT,219.05,219.0,-2.282584,0
1788032700000,2026-08-29T19:45:00Z,RNVDAUSDT,NVDAUSDT,219.03,218.99,-1.826234,0
1788033000000,2026-08-29T19:50:00Z,RNVDAUSDT,NVDAUSDT,218.89,218.99,4.568505,0
1788033300000,2026-08-29T19:55:00Z,RNVDAUSDT,NVDAUSDT,219.11,218.96,-6.845877,0
1788033600000,2026-08-29T20:00:00Z,RNVDAUSDT,NVDAUSDT,218.86,218.98,5.482957,0
1788033900000,2026-08-29T20:05:00Z,RNVDAUSDT,NVDAUSDT,218.94,218.98,1.826985,0
1788034200000,2026-08-29T20:10:00Z,RNVDAUSDT,NVDAUSDT,219.2,218.97,-10.492701,0
1788034500000,2026-08-29T20:15:00Z,RNVDAUSDT,NVDAUSDT,219.01,219.02,0.4566,0
1788034800000,2026-08-29T20:20:00Z,RNVDAUSDT,NVDAUSDT,218.73,218.89,7.314955,0
1788035100000,2026-08-29T20:25:00Z,RNVDAUSDT,NVDAUSDT,218.84,218.92,3.655639,0
1788035400000,2026-08-29T20:30:00Z,RNVDAUSDT,NVDAUSDT,218.9,218.91,0.45683,0
1788035700000,2026-08-29T20:35:00Z,RNVDAUSDT,NVDAUSDT,218.9,218.88,-0.913659,0
1788036000000,2026-08-29T20:40:00Z,RNVDAUSDT,NVDAUSDT,218.9,218.86,-1.827318,0
1788036300000,2026-08-29T20:45:00Z,RNVDAUSDT,NVDAUSDT,218.89,218.87,-0.913701,0
1788036600000,2026-08-29T20:50:00Z,RNVDAUSDT,NVDAUSDT,218.88,218.87,-0.456871,0
1788036900000,2026-08-29T20:55:00Z,RNVDAUSDT,NVDAUSDT,218.73,218.86,5.943401,0
1788037200000,2026-08-29T21:00:00Z,RNVDAUSDT,NVDAUSDT,218.95,218.83,-5.480703,0
1788037500000,2026-08-29T21:05:00Z,RNVDAUSDT,NVDAUSDT,218.97,218.84,-5.936886,0
1788037800000,2026-08-29T21:10:00Z,RNVDAUSDT,NVDAUSDT,218.95,218.89,-2.740352,0
1788038100000,2026-08-29T21:15:00Z,RNVDAUSDT,NVDAUSDT,218.95,218.83,-5.480703,0
1788038400000,2026-08-29T21:20:00Z,RNVDAUSDT,NVDAUSDT,218.89,218.86,-1.370551,0
1788038700000,2026-08-29T21:25:00Z,RNVDAUSDT,NVDAUSDT,218.89,218.87,-0.913701,1
1788039000000,2026-08-29T21:30:00Z,RNVDAUSDT,NVDAUSDT,218.8,218.92,5.484461,0
1788039300000,2026-08-29T21:35:00Z,RNVDAUSDT,NVDAUSDT,218.8,218.92,5.484461,1
1788039600000,2026-08-29T21:40:00Z,RNVDAUSDT,NVDAUSDT,219.01,218.94,-3.196201,0
1788039900000,2026-08-29T21:45:00Z,RNVDAUSDT,NVDAUSDT,219.01,218.95,-2.739601,1
1788040200000,2026-08-29T21:50:00Z,RNVDAUSDT,NVDAUSDT,218.81,218.91,4.570175,0
1788040500000,2026-08-29T21:55:00Z,RNVDAUSDT,NVDAUSDT,218.89,218.92,1.370551,0
1788040800000,2026-08-29T22:00:00Z,RNVDAUSDT,NVDAUSDT,219.13,218.87,-11.865103,0
1788041100000,2026-08-29T22:05:00Z,RNVDAUSDT,NVDAUSDT,218.64,218.93,13.263813,0
1788041400000,2026-08-29T22:10:00Z,RNVDAUSDT,NVDAUSDT,218.65,218.83,8.232335,0
1788041700000,2026-08-29T22:15:00Z,RNVDAUSDT,NVDAUSDT,218.65,218.85,9.147039,1
1788042000000,2026-08-29T22:20:00Z,RNVDAUSDT,NVDAUSDT,218.65,218.94,13.263206,2
1788043200000,2026-08-29T22:40:00Z,RNVDAUSDT,NVDAUSDT,218.76,218.95,8.685317,0
1788043500000,2026-08-29T22:45:00Z,RNVDAUSDT,NVDAUSDT,218.74,218.92,8.228948,0
1788043800000,2026-08-29T22:50:00Z,RNVDAUSDT,NVDAUSDT,218.74,218.95,9.600439,1
1788044100000,2026-08-29T22:55:00Z,RNVDAUSDT,NVDAUSDT,218.74,218.9,7.31462,0
1788044400000,2026-08-29T23:00:00Z,RNVDAUSDT,NVDAUSDT,218.84,218.92,3.655639,0
1788044700000,2026-08-29T23:05:00Z,RNVDAUSDT,NVDAUSDT,218.74,218.91,7.771784,0
1788045000000,2026-08-29T23:10:00Z,RNVDAUSDT,NVDAUSDT,218.71,218.97,11.887888,0
1788045300000,2026-08-29T23:15:00Z,RNVDAUSDT,NVDAUSDT,218.66,218.93,12.347937,0
1788045600000,2026-08-29T23:20:00Z,RNVDAUSDT,NVDAUSDT,218.63,218.93,13.721813,0
